published_path,split,label,source_id,source_license,privacy_group_id,published_sha256,published_size,orientation,privacy_transform,label_path,label_sha256,target_boxes
datasets/karaagro-faw-larva-det-v2-1/images/train/img_08e6aa8b78842015544fe969.jpg,train,positive,harvard_karaagro_v4.1,CC BY (datasheet; version not specified),grp_ba2828e39076b5e743853bd3,0bfdbc4a5020033d56a3788a182a52557357cd6481f412e30c8fb67167299617,4656565,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,datasets/karaagro-faw-larva-det-v2-1/labels/train/img_08e6aa8b78842015544fe969.txt,692cd4a2dcd64742e00d4be9d791d69f7ad241ef8e5831f98aad4126c62076a2,1
datasets/karaagro-faw-larva-det-v2-1/images/train/img_98f124587170e732fe3f7acc.jpg,train,positive,harvard_karaagro_v4.1,CC BY (datasheet; version not specified),grp_a6fe8d33a8ebd254e2cb607f,f44a078780fafe760a4e9bda51aeab5f035d5d8ee1b632846fbc423791da656a,1156924,6,lossless_jpeg_metadata_strip_preserve_orientation_v2,datasets/karaagro-faw-larva-det-v2-1/labels/train/img_98f124587170e732fe3f7acc.txt,4735f3344f72846f9d0257a29e78161b2c077054dfd7ebb65a48189767d52d1b,1
datasets/karaagro-faw-larva-det-v2-1/images/train/img_54e312c70c6088b4c75543bf.jpg,train,negative,harvard_karaagro_v4.1,CC BY (datasheet; version not specified),grp_faa1c44aa12c60a978b5289b,85603512055cf0e67b73b924f992d5286fb3e302035a5160ae946f38834dbc01,179951,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,datasets/karaagro-faw-larva-det-v2-1/labels/train/img_54e312c70c6088b4c75543bf.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
datasets/karaagro-faw-larva-det-v2-1/images/val/img_8a6413ff9a9890fd71d880eb.jpg,val,positive,harvard_karaagro_v4.1,CC BY (datasheet; version not specified),grp_f4862209c253857f82cc9496,2945163cd857f189032e660762567158de2df81353a33854e52016446d9366c4,87738,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,datasets/karaagro-faw-larva-det-v2-1/labels/val/img_8a6413ff9a9890fd71d880eb.txt,9caa4911caf91c04bc2858b1e9b12d5a0ba25eb7c53103e37c90511f716aef29,1
datasets/karaagro-faw-larva-det-v2-1/images/train/img_041f401f1107ba6f03e396de.jpg,train,positive,harvard_karaagro_v4.1,CC BY (datasheet; version not specified),grp_58ba5ad7cedd4c624239e1d3,4830eae88a208becfd3188cc340b06aa610c79abd85ce587a7fe3bad01c14e9b,79036,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,datasets/karaagro-faw-larva-det-v2-1/labels/train/img_041f401f1107ba6f03e396de.txt,71ebd527f7190dcb989192e83c202cc35cd881215e0beb5dbe74e93ae8269478,1
datasets/karaagro-faw-larva-det-v2-1/images/train/img_64edc1eea94b4e7958a5411b.jpg,train,negative,harvard_karaagro_v4.1,CC BY (datasheet; version not specified),grp_27cdc871c75537eb8bb5201f,9d58934c273a8d4cee8aa17c223a9826c3a572d8832e2c6cde08f794895b3278,2405531,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,datasets/karaagro-faw-larva-det-v2-1/labels/train/img_64edc1eea94b4e7958a5411b.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
datasets/karaagro-faw-larva-det-v2-1/images/val/img_a006172334efafb3b5d46bdd.jpg,val,positive,harvard_karaagro_v4.1,CC BY (datasheet; version not specified),grp_8255a155958d83b844c3aed7,fbfa16b9fe74d640d831bee406f4ce487054db8923fd69eb2d9f99d86d7f9c3d,2207509,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,datasets/karaagro-faw-larva-det-v2-1/labels/val/img_a006172334efafb3b5d46bdd.txt,5c3d1d1d5886abf44efbcc979416d9f9d68db00b647722b75d7e4ca77ee2f4a9,1
datasets/karaagro-faw-larva-det-v2-1/images/val/img_150e7d0987c109301e74e69d.jpg,val,positive,harvard_karaagro_v4.1,CC BY (datasheet; version not specified),grp_7ffa336d89ba8c2ef7b3ed7e,8f4c4dad0324ddc2b4e04b4d7fbe681e69adee09894a3409afb9a196ab8c9b4b,1433798,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,datasets/karaagro-faw-larva-det-v2-1/labels/val/img_150e7d0987c109301e74e69d.txt,098212a76f519842371dda1ee8960d71f061d8b6a572d20fa0da927aabb6a12e,1
datasets/karaagro-faw-larva-det-v2-1/images/train/img_edb389ad8224a450c9bb1353.jpg,train,positive,harvard_karaagro_v4.1,CC BY (datasheet; version not specified),grp_5fae6811cf9c54e874ceab76,209c0130595a3f9315b655e0e1d82b94c2d24f8fe5268d7448698a60cb979c3b,67722,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,datasets/karaagro-faw-larva-det-v2-1/labels/train/img_edb389ad8224a450c9bb1353.txt,41d09e58a496669711d75e6319c93943c324eec6bb7b4c523e6f4004be4a4a35,1
datasets/karaagro-faw-larva-det-v2-1/images/train/img_f17bdf9be4f846d10307c949.jpg,train,positive,harvard_karaagro_v4.1,CC BY (datasheet; version not specified),grp_9f738bd6c664d3539de956f2,87b2fcfcdacbdab853578112320b19a31a88c1e3c2972b30019ae0359c8893bb,23084,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,datasets/karaagro-faw-larva-det-v2-1/labels/train/img_f17bdf9be4f846d10307c949.txt,5794c61ac1477a9f7aa1b6dbf652ddd40b734100acf208e0c024a0a9a25c8d20,1
