published_path,split,label,source_id,source_license,privacy_group_id,published_sha256,published_size,orientation,privacy_transform,label_path,label_sha256,target_boxes
datasets/cotton-bollworm-det-v2/images/train/img_f733d66aab2f32dc5fa84bd9.jpg,train,negative,sciencedb_cottoninsect_v2,CC BY 4.0,grp_565bf6ff0d80afb645b6bc7c,3a5d79c5a31ff666fe91dfff9b49734799321e0d5318d334d2386c96e362df4a,1154962,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,datasets/cotton-bollworm-det-v2/labels/train/img_f733d66aab2f32dc5fa84bd9.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
datasets/cotton-bollworm-det-v2/images/train/img_cfea0f67524d93adc414d27a.jpg,train,negative,sciencedb_cottoninsect_v2,CC BY 4.0,grp_09adfb3c471e1685a5142077,cf8bfe57447e84e7745840125f6c426e676d42b8088e7781511bc875b0ad0ba8,1590173,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,datasets/cotton-bollworm-det-v2/labels/train/img_cfea0f67524d93adc414d27a.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
datasets/cotton-bollworm-det-v2/images/train/img_af444ecd55a281bfc3647042.jpg,train,negative,sciencedb_cottoninsect_v2,CC BY 4.0,grp_1482e9d25b5f2d3907dcb1ec,093aae72aeeb50d8099e64933c383314c7f60f6dcd6dfe6a3491f35cd989fe4a,962749,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,datasets/cotton-bollworm-det-v2/labels/train/img_af444ecd55a281bfc3647042.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
datasets/cotton-bollworm-det-v2/images/train/img_f4437f6ed182b80a97d2eef0.jpg,train,negative,sciencedb_cottoninsect_v2,CC BY 4.0,grp_4041d1780a818f1213d8b6d3,d6a5bfed1f1671312ac2b101144cfb45b4c4feea03a183381754ad016d407cfa,1064010,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,datasets/cotton-bollworm-det-v2/labels/train/img_f4437f6ed182b80a97d2eef0.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
datasets/cotton-bollworm-det-v2/images/train/img_47f00980841d618f10f394b3.jpg,train,negative,sciencedb_cottoninsect_v2,CC BY 4.0,grp_9c1dfe189183e80a50f0fe28,e02743b03ac37c5e990d54c2464293ab0e78b890f527045071106b16e4a54c6e,1056773,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,datasets/cotton-bollworm-det-v2/labels/train/img_47f00980841d618f10f394b3.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
datasets/cotton-bollworm-det-v2/images/train/img_fb8c68b6cf1ed9e5eb3fdce7.jpg,train,negative,sciencedb_cottoninsect_v2,CC BY 4.0,grp_ebeac9cad7f84f9a5ad660f6,889d56aff40df6e5166fb75452fc11006b6b2085aefa46d6d4e2429811d3f2ef,655065,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,datasets/cotton-bollworm-det-v2/labels/train/img_fb8c68b6cf1ed9e5eb3fdce7.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
datasets/cotton-bollworm-det-v2/images/train/img_e67768db9366300f501c2e89.jpg,train,negative,sciencedb_cottoninsect_v2,CC BY 4.0,grp_ee6ec2b85e4cbd3c0c31ecd4,7fdf5521a4105f1653b9350d5e0b8bd191e03c6de1292a531e1c29023615beb2,858045,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,datasets/cotton-bollworm-det-v2/labels/train/img_e67768db9366300f501c2e89.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
datasets/cotton-bollworm-det-v2/images/train/img_3798cadd9bb7d4889fe2a00a.jpg,train,negative,sciencedb_cottoninsect_v2,CC BY 4.0,grp_1515eb68b0f1177830a61c2a,416a4db04dbdc8fc685f589d8e8c7f95ce79eefcaa05b7c53e333feee5ac53c7,811550,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,datasets/cotton-bollworm-det-v2/labels/train/img_3798cadd9bb7d4889fe2a00a.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
datasets/cotton-bollworm-det-v2/images/val/img_ef54461c7ecd5ceb343a9716.jpg,val,negative,sciencedb_cottoninsect_v2,CC BY 4.0,grp_37d5608c0d95d36ace57e019,7f23096f8d4d154640dca4edf98cb117453914d7c887df55a1b7adf9db87253e,803178,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,datasets/cotton-bollworm-det-v2/labels/val/img_ef54461c7ecd5ceb343a9716.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
datasets/cotton-bollworm-det-v2/images/train/img_ae896f8a416b117b4f6f22a4.jpg,train,negative,sciencedb_cottoninsect_v2,CC BY 4.0,grp_9037e45204f5b998e011d98e,cf84bf0dd76e3792d66200688e3cac135124b5832a279734cc4c1472a2a71bec,762405,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,datasets/cotton-bollworm-det-v2/labels/train/img_ae896f8a416b117b4f6f22a4.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
datasets/cotton-bollworm-det-v2/images/val/img_776583a26c9b06fa5000fe16.jpg,val,positive,sciencedb_cottoninsect_v2,CC BY 4.0,grp_8b162ffcdb659132988ec0ef,496d4db08a927d290d5a829cf9a5f68d047c080046035e40ded0c320fbf044d9,1020667,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,datasets/cotton-bollworm-det-v2/labels/val/img_776583a26c9b06fa5000fe16.txt,07fcfd9b3ce913f02a4f3e5b2c4a531f6d85da002c8d269658e0fb83e0fa793e,1
datasets/cotton-bollworm-det-v2/images/val/img_bdc98d1367a470d312f3da76.jpg,val,negative,sciencedb_cottoninsect_v2,CC BY 4.0,grp_efded5ca720f43bcf15f2c90,012ee79f8f2399c00df8eba896a11f965a61bc3f23dc56918d22614f5f2ea87b,929434,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,datasets/cotton-bollworm-det-v2/labels/val/img_bdc98d1367a470d312f3da76.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
datasets/cotton-bollworm-det-v2/images/train/img_171386ff9f520810e3d07b44.jpg,train,negative,sciencedb_cottoninsect_v2,CC BY 4.0,grp_163466fd873ff15700ad8d33,1eefc5ba74f0a3cbcdb1d485c0f6c1586ef265dd7a4be23009d618b7c9ec8238,820565,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,datasets/cotton-bollworm-det-v2/labels/train/img_171386ff9f520810e3d07b44.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
datasets/cotton-bollworm-det-v2/images/val/img_27696d00b031114bfdbb4067.jpg,val,negative,sciencedb_cottoninsect_v2,CC BY 4.0,grp_d765b675703572223eef6c46,4f2df5ec51a2540fcfb3f8ae0ef3be3af379998d6af858d0088d9c033b619e84,955411,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,datasets/cotton-bollworm-det-v2/labels/val/img_27696d00b031114bfdbb4067.txt,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0
datasets/cotton-bollworm-det-v2/images/train/img_1f58087c5ac2cc5aecd22cd5.jpg,train,positive,sciencedb_cottoninsect_v2,CC BY 4.0,grp_b126b6d157ec71a1e052c18a,f251adcbd7f6c0d1933f54d59336c00901107c68ce3985a6837dc90ffb697f24,878126,1,lossless_jpeg_metadata_strip_preserve_orientation_v2,datasets/cotton-bollworm-det-v2/labels/train/img_1f58087c5ac2cc5aecd22cd5.txt,666d4ec3f11fd130ca632d29e5de1257766210d445d253cc51fc15a7c4c8c2c6,1
